age_group,socioeconomic_group,experience_years,test_score,college_graduation_year_gap,employment_gap,neighborhood_quality,hired
Young,High,10,83.053,0,0,1,1
Senior,High,5,70.1485,0,0,1,1
Senior,Low,5,63.2646,1,0,0,1
Senior,High,7,82.0942,1,0,0,1
Young,High,4,54.5852,0,0,1,1
Young,Low,4,42.0525,0,0,0,0
Young,High,9,61.991,0,0,1,1
Senior,Low,6,73.0257,0,0,1,1
Senior,High,4,80.5841,0,0,0,1
Senior,High,2,72.9575,1,0,1,1
Young,High,6,77.5373,0,0,1,1
Senior,High,2,80.6797,0,0,1,1
Senior,Low,5,59.9093,1,0,1,1
Young,High,6,62.7809,0,0,0,1
Young,Low,4,84.3075,0,0,0,1
Young,High,3,46.8476,0,0,1,1
Young,High,7,71.437,1,0,0,1
Senior,Low,2,54.2494,1,0,0,0
Young,High,6,81.5039,1,1,0,1
Young,Low,4,64.731,0,0,1,1
Senior,Low,6,65.1139,0,1,1,1
Young,Low,4,90.9332,0,0,0,1
Young,Low,4,48.8594,1,0,0,0
Young,High,4,68.2373,0,0,1,1
Young,High,9,62.2981,0,0,1,1
Senior,High,7,72.9862,0,1,1,1
Young,Low,3,93.94,0,0,1,1
Senior,Low,3,55.9214,1,0,1,1
Senior,High,6,47.039,0,0,1,1
Young,Low,6,52.8601,0,0,0,1
Senior,High,4,61.5077,1,0,1,1
Young,Low,9,65.9635,0,0,0,1
Young,High,4,66.7179,0,1,1,1
Senior,Low,9,92.0399,1,1,0,1
Senior,Low,4,89.3726,1,1,1,1
Senior,High,2,84.5442,0,0,1,1
Young,High,2,100.0,0,0,0,1
Young,High,5,77.3615,0,0,1,1
Senior,High,4,81.6253,0,0,1,1
Young,High,7,77.0716,1,1,1,1
Young,Low,5,74.6136,0,0,0,1
Young,Low,6,70.9159,0,0,0,1
Young,Low,10,59.0471,0,0,0,1
Senior,High,4,46.2983,1,1,1,0
Young,Low,2,63.0402,0,0,1,1
Senior,Low,10,73.4866,1,1,1,1
Young,High,9,66.0839,0,0,0,1
Senior,Low,10,49.02,0,1,1,1
Senior,Low,7,62.5118,1,1,1,0
Young,High,4,61.73,0,0,1,1
Senior,High,3,64.0647,1,0,1,1
Senior,High,10,72.3637,0,0,1,1
Senior,High,3,75.5939,1,0,1,1
Senior,Low,9,57.4992,0,0,0,1
Senior,Low,5,79.7168,1,0,1,1
Senior,Low,3,81.9746,0,0,0,1
Young,High,5,69.8045,0,0,1,1
Young,High,2,74.9713,0,0,1,1
Young,Low,4,79.7635,0,0,1,1
Young,Low,10,48.5353,0,0,0,1
Young,High,2,80.821,1,0,0,0
Young,Low,2,53.1491,0,0,0,0
Senior,Low,8,54.6095,1,0,0,1
Young,High,1,67.9443,0,0,0,0
Young,High,7,32.8394,0,0,1,1
Senior,Low,5,67.6343,0,0,1,1
Young,High,8,79.7267,0,0,1,1
Senior,High,1,40.3111,1,0,1,0
Young,High,7,81.3351,1,0,1,1
Senior,High,5,54.5182,0,0,1,1
Senior,Low,4,68.1029,0,0,1,1
Young,Low,7,56.6964,0,0,0,1
Young,High,10,73.5938,0,0,1,1
Senior,Low,2,80.3742,1,1,0,0
Senior,Low,1,74.7052,1,1,1,1
Senior,Low,1,64.9403,0,0,0,1
Senior,High,1,57.8622,0,0,1,1
Young,High,5,63.9605,0,0,1,1
Young,Low,10,74.8396,0,0,1,1
Young,Low,7,75.354,0,0,1,1
Senior,High,2,73.2624,1,0,1,1
Senior,High,10,45.7613,1,1,1,1
Young,High,8,64.6547,0,0,1,1
Young,Low,4,55.4986,0,0,0,1
Young,Low,3,74.9739,1,0,0,1
Young,High,10,53.5254,0,0,1,1
Senior,High,8,71.7808,0,0,1,1
Senior,Low,2,60.7672,1,0,0,0
Senior,Low,3,36.8136,0,1,0,0
Young,High,3,78.9644,0,1,0,1
Young,Low,10,64.6207,1,0,0,1
Senior,Low,1,84.1397,0,0,0,1
Senior,High,6,40.0204,0,0,1,1
Senior,Low,2,60.6272,1,0,0,0
Senior,High,1,61.7539,1,0,0,0
Young,Low,2,69.0531,1,0,1,0
Senior,Low,6,45.1222,0,0,1,1
Young,Low,4,73.1606,0,1,0,1
Young,Low,6,93.6749,0,0,0,1
Young,High,9,72.1181,1,0,1,1
Young,Low,10,66.3931,0,0,0,1
Senior,Low,10,44.3381,0,1,0,1
Young,High,8,53.3863,0,0,1,1
Senior,Low,1,64.1623,0,0,1,1
Senior,Low,8,57.0534,1,1,0,1
Young,High,9,80.3938,1,0,1,1
Young,Low,6,73.0055,0,0,1,1
Senior,Low,10,100.0,1,0,0,1
Young,High,5,50.2871,0,0,1,1
Young,Low,6,65.4967,0,0,1,1
Young,High,6,44.2476,0,0,0,1
Young,High,9,31.6634,1,0,1,1
Senior,High,4,75.8408,1,0,1,1
Senior,Low,2,72.4492,0,0,0,0
Senior,Low,9,52.1811,1,0,1,1
Senior,High,2,66.3954,1,0,1,1
Senior,High,10,55.561,1,0,1,1
Young,Low,9,57.5869,0,1,1,1
Senior,High,2,60.1957,1,1,1,0
Senior,Low,8,51.5515,0,0,1,1
Senior,Low,9,54.2503,1,0,1,1
Senior,Low,10,54.6735,1,0,0,1
Young,Low,9,71.3432,1,0,1,1
Young,High,10,30.0,0,1,1,1
Young,Low,9,61.5856,0,0,0,1
Young,Low,2,48.6848,0,0,0,1
Senior,Low,4,49.2267,1,0,0,0
Senior,High,7,57.1152,1,0,0,1
Young,Low,2,64.7849,0,0,1,1
Senior,High,1,61.7838,1,0,1,0
Young,High,3,49.0391,1,0,1,1
Young,High,4,75.8254,0,1,1,1
Young,Low,8,51.4609,0,1,1,1
Young,Low,6,53.9794,0,0,1,1
Senior,Low,2,69.2674,1,0,1,1
Young,Low,9,69.8055,1,0,0,1
Senior,High,2,55.8245,0,0,0,0
Senior,Low,5,30.0,1,1,1,0
Young,High,4,51.7176,0,0,0,1
Senior,Low,7,67.4283,1,0,1,1
Senior,Low,8,75.3291,1,0,0,1
Young,Low,5,63.8106,0,1,0,1
Young,Low,10,57.8152,0,0,1,1
Young,High,5,99.3982,0,0,1,1
Young,High,2,59.4127,0,0,1,1
Young,Low,8,74.1835,0,0,1,1
Senior,High,2,44.9742,0,1,1,1
Senior,High,10,48.6475,0,1,1,1
Young,High,6,74.7099,1,1,0,1
Young,Low,8,80.6684,0,0,1,1
Senior,High,6,59.1542,0,1,1,1
Young,High,4,37.2705,0,0,1,1
Young,Low,4,62.4866,0,0,1,1
Young,Low,6,67.8411,0,0,1,1
Senior,High,4,66.4823,0,0,1,1
Young,High,8,56.5492,1,0,1,1
Senior,High,9,62.7067,0,1,0,1
Senior,High,1,53.7533,1,0,1,0
Young,High,4,48.3224,0,0,1,1
Senior,Low,4,76.335,0,0,1,1
Young,Low,2,66.467,0,0,1,1
Senior,Low,6,62.7397,1,1,1,1
Senior,High,3,57.3928,1,0,0,0
Senior,Low,7,62.2974,0,1,0,1
Young,High,5,67.4047,0,1,1,1
Senior,Low,4,90.9302,1,1,1,1
Young,Low,5,74.8181,0,0,0,1
Young,High,8,55.0054,0,0,1,1
Young,Low,3,55.1635,0,0,1,1
Senior,High,7,52.8248,0,0,1,1
Senior,Low,6,61.9922,1,1,0,1
Young,High,1,52.8132,0,0,1,1
Senior,High,7,72.1224,0,0,1,1
Young,Low,7,30.0,1,0,0,0
Senior,High,1,73.0275,0,0,1,1
Young,Low,9,69.1307,0,1,0,1
Senior,High,6,83.9411,0,1,1,1
Young,Low,2,78.1518,0,0,1,1
Senior,Low,5,54.7445,0,1,0,0
Young,Low,4,76.4645,1,0,0,1
Young,High,7,62.479,0,0,1,1
Young,High,8,35.9854,0,0,1,1
Senior,High,1,67.3825,0,1,1,1
Senior,High,5,55.6362,0,1,1,1
Young,Low,3,65.0033,0,0,0,1
Senior,Low,1,89.7717,1,1,0,1
Senior,Low,3,68.3718,1,1,0,0
Senior,Low,6,49.74,0,0,0,1
Senior,Low,7,79.4662,0,0,0,1
Young,Low,8,70.4381,0,0,0,1
Young,High,4,47.9726,0,0,0,1
Senior,Low,3,40.9064,0,1,0,0
Senior,Low,5,50.3399,0,0,0,1
Senior,Low,9,77.5445,0,0,1,1
Young,High,6,60.476,0,0,1,1
Young,High,9,66.2171,1,0,1,1
Senior,High,6,44.9221,1,0,0,1
Senior,Low,2,77.9483,1,1,0,0
Senior,Low,5,34.7722,1,1,0,0
Senior,High,9,55.1693,1,0,1,1
Senior,Low,8,71.277,0,0,0,1
Young,High,7,48.1605,0,0,1,1
Young,High,1,74.2119,0,0,1,1
Senior,High,4,51.9621,0,1,1,1
Senior,Low,7,46.6089,0,0,0,1
Young,Low,7,84.2972,0,0,0,1
Young,High,6,67.309,0,0,1,1
Senior,Low,8,72.7855,1,0,0,1
Young,High,6,80.2731,0,1,0,1
Young,Low,10,30.0,0,0,1,1
Senior,Low,3,74.5217,1,0,1,1
Senior,Low,4,53.5846,1,0,0,1
Senior,High,3,55.5609,1,0,1,1
Young,Low,1,71.5616,0,0,1,1
Senior,Low,10,59.5544,1,0,0,1
Young,High,5,73.9178,1,0,1,1
Young,Low,1,64.3874,0,1,1,1
Senior,High,1,67.5231,1,0,1,0
Senior,Low,2,57.6467,1,1,0,0
Senior,High,4,49.026,1,0,1,1
Senior,Low,6,53.8952,0,0,1,1
Senior,Low,8,63.4576,1,0,0,1
Young,High,3,92.5586,0,1,0,1
Young,High,1,87.0786,1,0,1,1
Young,High,3,55.2006,0,0,1,1
Young,High,3,65.9039,1,1,1,1
Senior,High,5,60.6842,1,0,1,1
Young,Low,4,66.954,1,0,1,1
Senior,High,4,68.8837,1,0,1,1
Senior,High,9,72.9127,1,0,1,1
Senior,Low,7,30.0,0,0,0,1
Senior,High,4,70.4975,0,0,0,1
Senior,Low,3,59.0162,1,1,0,0
Young,Low,6,54.4259,0,0,1,1
Young,Low,3,76.9139,1,1,0,0
Senior,Low,6,87.0024,0,0,1,1
Young,Low,9,75.335,0,0,1,1
Young,High,6,57.2217,0,0,1,1
Senior,High,4,48.8599,1,0,1,0
Young,High,5,30.0,1,1,1,0
Senior,Low,6,67.7377,0,1,0,1
Senior,High,3,73.6852,1,0,1,1
Senior,Low,8,63.472,1,1,0,1
Young,Low,4,79.0062,0,0,0,1
Young,Low,8,45.1971,0,0,1,1
Senior,Low,10,62.4314,0,1,0,1
Young,High,10,61.2455,0,0,1,1
Senior,Low,3,63.3484,0,0,0,1
Senior,Low,10,82.519,0,1,1,1
Senior,High,7,63.4274,1,1,1,1
Young,High,9,60.5781,1,0,1,1
Young,Low,4,50.9496,1,0,0,0
Senior,Low,8,84.9287,1,1,1,1
Young,Low,3,43.5321,0,0,1,1
Young,Low,7,56.705,1,0,0,1
Senior,Low,3,90.4091,0,1,0,1
Senior,Low,7,72.0236,1,0,1,1
Senior,High,10,64.6974,1,1,1,1
Senior,High,10,65.3254,1,0,1,1
Young,High,6,50.8043,0,1,0,0
Senior,Low,2,63.9721,1,0,0,0
Senior,Low,3,59.752,1,0,0,0
Young,Low,6,67.6944,0,0,0,1
Senior,High,4,42.4064,1,0,1,1
Senior,Low,6,70.9678,1,0,1,1
Senior,Low,1,80.2494,0,1,1,1
Senior,Low,10,61.9427,1,1,0,1
Senior,Low,1,74.7065,1,0,0,0
Young,High,3,69.6552,0,0,1,1
Young,Low,8,55.8839,1,0,1,1
Senior,High,8,49.1221,0,1,1,1
Senior,High,4,51.2242,0,1,1,1
Senior,High,6,69.3934,1,0,1,1
Senior,Low,8,64.1578,0,0,1,1
Senior,Low,7,84.1264,1,1,0,1
Senior,Low,7,76.8631,0,0,0,1
Senior,Low,4,76.8318,1,1,1,1
Senior,Low,9,68.9462,1,1,1,1
Senior,Low,10,50.567,0,0,1,1
